title (original),IMDB id,film_id,IMDB_url,Directors,Writers,Actors,Country of origin,Duration (min),Year of Production
Новости дня № 40 1951 г.,,flm0001189,,,,,,,
Pueblerina,tt0040715,flm0001190,https://www.imdb.com/title/tt0040715/,,,,,,
Новости дня № 41 1951 г.,,flm0001191,,,,,,,
Новости сельского хозяйства № 7 1951 г.,,flm0001192,,,,,,,
Советский спорт № 8 1951 г.,,flm0001193,,,,,,,
Запорожец за Дунаем,tt0046565,flm0001194,https://www.imdb.com/title/tt0046565/,,,,,,
Trivia,tt0283073,flm0001195,https://www.imdb.com/title/tt0283073/,,,,,,
Крым,,flm0001196,,,,,,,
Наука и техника № 9 1951 г.,,flm0001197,,,,,,,
Новости дня № 42 1951 г.,,flm0001198,,,,,,,
На арене цирка,tt0239690,flm0001199,https://www.imdb.com/title/tt0239690/,,,,,,
Новости дня № 43 1951 г.,,flm0001200,,,,,,,
Skarb,tt0041880,flm0001201,https://www.imdb.com/title/tt0041880/,,,,,,
Наталка-Полтавка,tt0028022,flm0001202,https://www.imdb.com/title/tt0028022/,,,,,,
Новости дня № 44 1951 г.,,flm0001203,,,,,,,
Bai mao nü,tt0483468,flm0001204,https://www.imdb.com/title/tt0483468/,,,,,,
Zhōngguó rénmín dà tuánjié,,flm0001205,,,,,,,
Москва голосует за пакт мира,,flm0001206,,,,,,,
По реке Янцзы,,flm0001207,,,,,,,
Ханьчжоу - жемчужина Китая,,flm0001208,,,,,,,
Новости дня № 45 1951 г.,,flm0001209,,,,,,,
In nome della legge,tt0041506,flm0001210,https://www.imdb.com/title/tt0041506/,,,,,,
Старинный водевиль,tt0039866,flm0001211,https://www.imdb.com/title/tt0039866/,,,,,,
Наука и техника № 10 1951 г.,,flm0001212,,,,,,,
Встреча велосипедистов СССР и Болгарии,,flm0001213,,,,,,,
Новости дня № 46 1951 г.,,flm0001214,,,,,,,
Пионерия № 9 1951 г.,,flm0001215,,,,,,,
Becsület és dicsöség,tt0043323,flm0001216,https://www.imdb.com/title/tt0043323/,,,,,,
На стройках Москвы,,flm0001217,,,,,,,
Свет в Коорди,tt0447516,flm0001218,https://www.imdb.com/title/tt0447516/,,,,,,
Первенство Советского Союза по конному спорту,,flm0001219,,,,,,,
Новости дня № 48 1951 г.,,flm0001220,,,,,,,
Советский спорт № 9 1951 г.,,flm0001221,,,,,,,
Пионерия № 10 1951 г.,,flm0001222,,,,,,,
Наука и техника № 11 1951 г.,,flm0001223,,,,,,,
Новости дня № 49 1951 г.,,flm0001224,,,,,,,
На первенство Союза по баскетболу,,flm0001225,,,,,,,
Советские китобои,,flm0001226,,,,,,,
